entity_id,entity_type,expected_classification,expected_match_target,notes
ORD4133,order,clean,,matches 1:1 with its payment
ORD4134,order,clean,,matches 1:1 with its payment
ORD4135,order,clean,,matches 1:1 with its payment
ORD4136,order,clean,,matches 1:1 with its payment
ORD4137,order,clean,,matches 1:1 with its payment
ORD4138,order,clean,,matches 1:1 with its payment
ORD4139,order,clean,,matches 1:1 with its payment
ORD4140,order,clean,,matches 1:1 with its payment
ORD4141,order,clean,,matches 1:1 with its payment
ORD4142,order,clean,,matches 1:1 with its payment
ORD4143,order,clean,,matches 1:1 with its payment
ORD4144,order,clean,,matches 1:1 with its payment
ORD4145,order,clean,,matches 1:1 with its payment
ORD4146,order,clean,,matches 1:1 with its payment
ORD4147,order,clean,,matches 1:1 with its payment
ORD4148,order,clean,,matches 1:1 with its payment
ORD4149,order,clean,,matches 1:1 with its payment
ORD4150,order,clean,,matches 1:1 with its payment
ORD4151,order,clean,,matches 1:1 with its payment
ORD4152,order,clean,,matches 1:1 with its payment
ORD4153,order,clean,,matches 1:1 with its payment
ORD4154,order,clean,,matches 1:1 with its payment
ORD4155,order,clean,,matches 1:1 with its payment
ORD4156,order,clean,,matches 1:1 with its payment
ORD4157,order,clean,,matches 1:1 with its payment
ORD4158,order,clean,,matches 1:1 with its payment
ORD4159,order,clean,,matches 1:1 with its payment
ORD4160,order,clean,,matches 1:1 with its payment
ORD4161,order,clean,,matches 1:1 with its payment
ORD4162,order,failed_payment,pay_000163,payment attempt failed; no bank credit will ever exist
ORD4163,order,clean,,matches 1:1 with its payment
ORD4164,order,clean,,matches 1:1 with its payment
ORD4165,order,clean,,matches 1:1 with its payment
ORD4166,order,clean,,matches 1:1 with its payment
ORD4167,order,clean,,matches 1:1 with its payment
ORD4168,order,clean,,matches 1:1 with its payment
ORD4169,order,clean,,matches 1:1 with its payment
ORD4170,order,clean,,matches 1:1 with its payment
ORD4171,order,clean,,matches 1:1 with its payment
ORD4172,order,clean,,matches 1:1 with its payment
ORD4173,order,clean,,matches 1:1 with its payment
ORD4174,order,clean,,matches 1:1 with its payment
ORD4175,order,clean,,matches 1:1 with its payment
ORD4176,order,clean,,matches 1:1 with its payment
ORD4177,order,clean,,matches 1:1 with its payment
ORD4178,order,clean,,matches 1:1 with its payment
ORD4179,order,clean,,matches 1:1 with its payment
ORD4180,order,clean,,matches 1:1 with its payment
ORD4181,order,clean,,matches 1:1 with its payment
ORD4182,order,clean,,matches 1:1 with its payment
ORD4183,order,duplicate,,two captures exist for one order; the voided one must be excluded from settlement
ORD4184,order,clean,,matches 1:1 with its payment
ORD4185,order,chargeback,,"chargeback reverses the sale in a LATER settlement period, plus a penalty fee"
ORD4186,order,clean,,matches 1:1 with its payment
ORD4187,order,clean,,matches 1:1 with its payment
ORD4188,order,clean,,matches 1:1 with its payment
ORD4189,order,clean,,matches 1:1 with its payment
ORD4190,order,clean,,matches 1:1 with its payment
ORD4191,order,clean,,matches 1:1 with its payment
ORD4192,order,clean,,matches 1:1 with its payment
ORD4193,order,clean,,matches 1:1 with its payment
ORD4194,order,clean,,matches 1:1 with its payment
ORD4195,order,clean,,matches 1:1 with its payment
ORD4196,order,clean,,matches 1:1 with its payment
ORD4197,order,clean,,matches 1:1 with its payment
ORD4198,order,rounding_noise,pay_000199,"1 paise fee drift from a different rounding rule; must be tolerated, not reported"
ORD4199,order,clean,,matches 1:1 with its payment
ORD4200,order,clean,,matches 1:1 with its payment
ORD4201,order,fee_mismatch,pay_000202,gateway fee exceeds rule for upi by 5.00
ORD4202,order,clean,,matches 1:1 with its payment
ORD4203,order,clean,,matches 1:1 with its payment
ORD4204,order,clean,,matches 1:1 with its payment
ORD4205,order,clean,,matches 1:1 with its payment
ORD4206,order,clean,,matches 1:1 with its payment
ORD4207,order,clean,,matches 1:1 with its payment
ORD4208,order,clean,,matches 1:1 with its payment
ORD4209,order,clean,,matches 1:1 with its payment
ORD4210,order,clean,,matches 1:1 with its payment
ORD4211,order,clean,,matches 1:1 with its payment
ORD4212,order,clean,,matches 1:1 with its payment
ORD4213,order,partial_refund,,partial refund of 124.00 against 249.99
ORD4214,order,clean,,matches 1:1 with its payment
ORD4215,order,clean,,matches 1:1 with its payment
ORD4216,order,clean,,matches 1:1 with its payment
ORD4217,order,clean,,matches 1:1 with its payment
ORD4218,order,clean,,matches 1:1 with its payment
ORD4219,order,clean,,matches 1:1 with its payment
ORD4220,order,clean,,matches 1:1 with its payment
ORD4221,order,clean,,matches 1:1 with its payment
ORD4222,order,clean,,matches 1:1 with its payment
ORD4223,order,clean,,matches 1:1 with its payment
ORD4224,order,clean,,matches 1:1 with its payment
ORD4225,order,clean,,matches 1:1 with its payment
ORD4226,order,clean,,matches 1:1 with its payment
ORD4227,order,clean,,matches 1:1 with its payment
ORD4228,order,clean,,matches 1:1 with its payment
ORD4229,order,clean,,matches 1:1 with its payment
ORD4230,order,clean,,matches 1:1 with its payment
ORD4231,order,clean,,matches 1:1 with its payment
ORD4232,order,clean,,matches 1:1 with its payment
ORD4233,order,clean,,matches 1:1 with its payment
ORD4234,order,clean,,matches 1:1 with its payment
ORD4235,order,clean,,matches 1:1 with its payment
ORD4236,order,clean,,matches 1:1 with its payment
ORD4237,order,clean,,matches 1:1 with its payment
ORD4238,order,clean,,matches 1:1 with its payment
ORD4239,order,clean,,matches 1:1 with its payment
ORD4240,order,clean,,matches 1:1 with its payment
ORD4241,order,clean,,matches 1:1 with its payment
ORD4242,order,refund,pay_000243,full refund; net settlement contribution is negative
ORD4243,order,clean,,matches 1:1 with its payment
ORD4244,order,clean,,matches 1:1 with its payment
ORD4245,order,clean,,matches 1:1 with its payment
ORD4246,order,clean,,matches 1:1 with its payment
ORD4247,order,clean,,matches 1:1 with its payment
ORD4248,order,clean,,matches 1:1 with its payment
ORD4249,order,clean,,matches 1:1 with its payment
ORD4250,order,clean,,matches 1:1 with its payment
ORD4251,order,clean,,matches 1:1 with its payment
ORD4252,order,clean,,matches 1:1 with its payment
ORD4253,order,clean,,matches 1:1 with its payment
ORD4254,order,clean,,matches 1:1 with its payment
ORD4255,order,clean,,matches 1:1 with its payment
ORD4256,order,clean,,matches 1:1 with its payment
ORD4257,order,clean,,matches 1:1 with its payment
ORD4258,order,clean,,matches 1:1 with its payment
ORD4259,order,clean,,matches 1:1 with its payment
ORD4260,order,clean,,matches 1:1 with its payment
ORD4261,order,clean,,matches 1:1 with its payment
ORD4262,order,clean,,matches 1:1 with its payment
ORD4263,order,clean,,matches 1:1 with its payment
ORD4264,order,clean,,matches 1:1 with its payment
ORD4265,order,clean,,matches 1:1 with its payment
ORD4266,order,clean,,matches 1:1 with its payment
ORD4267,order,clean,,matches 1:1 with its payment
ORD4268,order,clean,,matches 1:1 with its payment
ORD4269,order,clean,,matches 1:1 with its payment
ORD4270,order,clean,,matches 1:1 with its payment
ORD4271,order,clean,,matches 1:1 with its payment
ORD4272,order,clean,,matches 1:1 with its payment
ORD4273,order,clean,,matches 1:1 with its payment
ORD4274,order,clean,,matches 1:1 with its payment
ORD4275,order,clean,,matches 1:1 with its payment
ORD4276,order,clean,,matches 1:1 with its payment
ORD4277,order,clean,,matches 1:1 with its payment
ORD4278,order,clean,,matches 1:1 with its payment
ORD4279,order,clean,,matches 1:1 with its payment
ORD4280,order,clean,,matches 1:1 with its payment
ORD4281,order,clean,,matches 1:1 with its payment
ORD4282,order,clean,,matches 1:1 with its payment
ORD4283,order,clean,,matches 1:1 with its payment
ORD4284,order,clean,,matches 1:1 with its payment
ORD4285,order,clean,,matches 1:1 with its payment
ORD4286,order,clean,,matches 1:1 with its payment
ORD4287,order,clean,,matches 1:1 with its payment
ORD4288,order,clean,,matches 1:1 with its payment
ORD4289,order,clean,,matches 1:1 with its payment
ORD4290,order,partial_refund,,partial refund of 1249.00 against 2499.00
ORD4291,order,clean,,matches 1:1 with its payment
ORD4292,order,rounding_noise,pay_000293,"1 paise fee drift from a different rounding rule; must be tolerated, not reported"
ORD4293,order,clean,,matches 1:1 with its payment
ORD4294,order,duplicate,,two captures exist for one order; the voided one must be excluded from settlement
ORD4295,order,clean,,matches 1:1 with its payment
ORD4296,order,clean,,matches 1:1 with its payment
ORD4297,order,clean,,matches 1:1 with its payment
ORD4298,order,clean,,matches 1:1 with its payment
ORD4299,order,clean,,matches 1:1 with its payment
ORD4300,order,clean,,matches 1:1 with its payment
ORD4301,order,clean,,matches 1:1 with its payment
ORD4302,order,clean,,matches 1:1 with its payment
ORD4303,order,clean,,matches 1:1 with its payment
ORD4304,order,clean,,matches 1:1 with its payment
ORD4305,order,clean,,matches 1:1 with its payment
ORD4306,order,clean,,matches 1:1 with its payment
ORD4307,order,failed_payment,pay_000308,payment attempt failed; no bank credit will ever exist
ORD4308,order,clean,,matches 1:1 with its payment
ORD4309,order,clean,,matches 1:1 with its payment
ORD4310,order,clean,,matches 1:1 with its payment
ORD4311,order,clean,,matches 1:1 with its payment
ORD4312,order,clean,,matches 1:1 with its payment
ORD4313,order,clean,,matches 1:1 with its payment
ORD4314,order,clean,,matches 1:1 with its payment
ORD4315,order,clean,,matches 1:1 with its payment
ORD4316,order,clean,,matches 1:1 with its payment
ORD4317,order,clean,,matches 1:1 with its payment
ORD4318,order,clean,,matches 1:1 with its payment
ORD4319,order,clean,,matches 1:1 with its payment
ORD4320,order,clean,,matches 1:1 with its payment
ORD4321,order,clean,,matches 1:1 with its payment
ORD4322,order,clean,,matches 1:1 with its payment
ORD4323,order,clean,,matches 1:1 with its payment
ORD4324,order,clean,,matches 1:1 with its payment
ORD4325,order,clean,,matches 1:1 with its payment
ORD4326,order,clean,,matches 1:1 with its payment
ORD4327,order,clean,,matches 1:1 with its payment
ORD4328,order,clean,,matches 1:1 with its payment
ORD4329,order,clean,,matches 1:1 with its payment
ORD4330,order,chargeback,,"chargeback reverses the sale in a LATER settlement period, plus a penalty fee"
ORD4331,order,clean,,matches 1:1 with its payment
ORD4332,order,clean,,matches 1:1 with its payment
ORD4333,order,clean,,matches 1:1 with its payment
ORD4334,order,clean,,matches 1:1 with its payment
ORD4335,order,clean,,matches 1:1 with its payment
ORD4336,order,clean,,matches 1:1 with its payment
ORD4337,order,clean,,matches 1:1 with its payment
ORD4338,order,clean,,matches 1:1 with its payment
ORD4339,order,clean,,matches 1:1 with its payment
ORD4340,order,clean,,matches 1:1 with its payment
ORD4341,order,clean,,matches 1:1 with its payment
ORD4342,order,clean,,matches 1:1 with its payment
ORD4343,order,clean,,matches 1:1 with its payment
ORD4344,order,clean,,matches 1:1 with its payment
ORD4345,order,clean,,matches 1:1 with its payment
ORD4346,order,clean,,matches 1:1 with its payment
ORD4347,order,clean,,matches 1:1 with its payment
ORD4348,order,clean,,matches 1:1 with its payment
ORD4349,order,fee_mismatch,pay_000350,gateway fee exceeds rule for card by 2.25
ORD4350,order,clean,,matches 1:1 with its payment
ORD4351,order,clean,,matches 1:1 with its payment
ORD4352,order,clean,,matches 1:1 with its payment
ORD4353,order,clean,,matches 1:1 with its payment
ORD4354,order,clean,,matches 1:1 with its payment
ORD4355,order,clean,,matches 1:1 with its payment
ORD4356,order,clean,,matches 1:1 with its payment
ORD4357,order,clean,,matches 1:1 with its payment
ORD4358,order,clean,,matches 1:1 with its payment
ORD4359,order,clean,,matches 1:1 with its payment
ORD4360,order,clean,,matches 1:1 with its payment
ORD4361,order,clean,,matches 1:1 with its payment
ORD4362,order,clean,,matches 1:1 with its payment
ORD4363,order,clean,,matches 1:1 with its payment
ORD4364,order,clean,,matches 1:1 with its payment
ORD4365,order,clean,,matches 1:1 with its payment
ORD4366,order,clean,,matches 1:1 with its payment
ORD4367,order,clean,,matches 1:1 with its payment
ORD4368,order,clean,,matches 1:1 with its payment
ORD4369,order,clean,,matches 1:1 with its payment
ORD4370,order,clean,,matches 1:1 with its payment
ORD4371,order,unsettled,,captured near end of window; not yet paid out. CORRECTLY unmatched -- not an error
ORD4372,order,clean,,matches 1:1 with its payment
ORD4373,order,clean,,matches 1:1 with its payment
ORD4374,order,clean,,matches 1:1 with its payment
ORD4375,order,clean,,matches 1:1 with its payment
ORD4376,order,clean,,matches 1:1 with its payment
ORD4377,order,clean,,matches 1:1 with its payment
ORD4378,order,clean,,matches 1:1 with its payment
ORD4379,order,clean,,matches 1:1 with its payment
ORD4380,order,clean,,matches 1:1 with its payment
ORD4381,order,clean,,matches 1:1 with its payment
ORD4382,order,clean,,matches 1:1 with its payment
ORD4383,order,clean,,matches 1:1 with its payment
ORD4384,order,clean,,matches 1:1 with its payment
ORD4385,order,clean,,matches 1:1 with its payment
ORD4386,order,clean,,matches 1:1 with its payment
ORD4387,order,clean,,matches 1:1 with its payment
ORD4388,order,clean,,matches 1:1 with its payment
ORD4389,order,clean,,matches 1:1 with its payment
ORD4390,order,unsettled,,captured near end of window; not yet paid out. CORRECTLY unmatched -- not an error
ORD4391,order,clean,,matches 1:1 with its payment
ORD4392,order,clean,,matches 1:1 with its payment
ORD4393,order,clean,,matches 1:1 with its payment
ORD4394,order,clean,,matches 1:1 with its payment
ORD4395,order,clean,,matches 1:1 with its payment
ORD4396,order,clean,,matches 1:1 with its payment
ORD4397,order,clean,,matches 1:1 with its payment
ORD4398,order,clean,,matches 1:1 with its payment
ORD4399,order,refund,pay_000400,full refund; net settlement contribution is negative
ORD4400,order,clean,,matches 1:1 with its payment
ORD4401,order,clean,,matches 1:1 with its payment
ORD4402,order,fee_mismatch,pay_000403,gateway fee exceeds rule for upi by 2.25
ORD4403,order,clean,,matches 1:1 with its payment
ORD4404,order,clean,,matches 1:1 with its payment
ORD4405,order,clean,,matches 1:1 with its payment
ORD4406,order,clean,,matches 1:1 with its payment
ORD4407,order,clean,,matches 1:1 with its payment
ORD4408,order,clean,,matches 1:1 with its payment
ORD4409,order,clean,,matches 1:1 with its payment
ORD4410,order,clean,,matches 1:1 with its payment
ORD4411,order,clean,,matches 1:1 with its payment
ORD4412,order,clean,,matches 1:1 with its payment
ORD4413,order,clean,,matches 1:1 with its payment
ORD4414,order,clean,,matches 1:1 with its payment
ORD4415,order,clean,,matches 1:1 with its payment
ORD4416,order,clean,,matches 1:1 with its payment
ORD4417,order,clean,,matches 1:1 with its payment
ORD4418,order,clean,,matches 1:1 with its payment
ORD4419,order,clean,,matches 1:1 with its payment
ORD4420,order,clean,,matches 1:1 with its payment
ORD4421,order,clean,,matches 1:1 with its payment
ORD4422,order,clean,,matches 1:1 with its payment
ORD4423,order,clean,,matches 1:1 with its payment
ORD4424,order,clean,,matches 1:1 with its payment
ORD4425,order,clean,,matches 1:1 with its payment
ORD4426,order,clean,,matches 1:1 with its payment
ORD4427,order,clean,,matches 1:1 with its payment
ORD4428,order,clean,,matches 1:1 with its payment
ORD4429,order,clean,,matches 1:1 with its payment
ORD4430,order,clean,,matches 1:1 with its payment
ORD4431,order,clean,,matches 1:1 with its payment
ORD4432,order,clean,,matches 1:1 with its payment
ORD4433,order,clean,,matches 1:1 with its payment
ORD4434,order,clean,,matches 1:1 with its payment
ORD4435,order,duplicate,,two captures exist for one order; the voided one must be excluded from settlement
ORD4436,order,clean,,matches 1:1 with its payment
ORD4437,order,clean,,matches 1:1 with its payment
ORD4438,order,clean,,matches 1:1 with its payment
ORD4439,order,clean,,matches 1:1 with its payment
ORD4440,order,clean,,matches 1:1 with its payment
ORD4441,order,clean,,matches 1:1 with its payment
ORD4442,order,clean,,matches 1:1 with its payment
ORD4443,order,clean,,matches 1:1 with its payment
ORD4444,order,clean,,matches 1:1 with its payment
ORD4445,order,clean,,matches 1:1 with its payment
ORD4446,order,clean,,matches 1:1 with its payment
ORD4447,order,clean,,matches 1:1 with its payment
ORD4448,order,clean,,matches 1:1 with its payment
ORD4449,order,clean,,matches 1:1 with its payment
ORD4450,order,clean,,matches 1:1 with its payment
ORD4451,order,clean,,matches 1:1 with its payment
ORD4452,order,clean,,matches 1:1 with its payment
ORD4453,order,clean,,matches 1:1 with its payment
ORD4454,order,clean,,matches 1:1 with its payment
ORD4455,order,clean,,matches 1:1 with its payment
ORD4456,order,clean,,matches 1:1 with its payment
ORD4457,order,clean,,matches 1:1 with its payment
ORD4458,order,clean,,matches 1:1 with its payment
ORD4459,order,clean,,matches 1:1 with its payment
ORD4460,order,clean,,matches 1:1 with its payment
ORD4461,order,clean,,matches 1:1 with its payment
ORD4462,order,clean,,matches 1:1 with its payment
ORD4463,order,clean,,matches 1:1 with its payment
ORD4464,order,clean,,matches 1:1 with its payment
ORD4465,order,clean,,matches 1:1 with its payment
ORD4466,order,clean,,matches 1:1 with its payment
ORD4467,order,clean,,matches 1:1 with its payment
ORD4468,order,clean,,matches 1:1 with its payment
ORD4469,order,clean,,matches 1:1 with its payment
ORD4470,order,clean,,matches 1:1 with its payment
ORD4471,order,clean,,matches 1:1 with its payment
ORD4472,order,clean,,matches 1:1 with its payment
ORD4473,order,clean,,matches 1:1 with its payment
ORD4474,order,clean,,matches 1:1 with its payment
ORD4475,order,clean,,matches 1:1 with its payment
ORD4476,order,clean,,matches 1:1 with its payment
ORD4477,order,clean,,matches 1:1 with its payment
ORD4478,order,clean,,matches 1:1 with its payment
ORD4479,order,clean,,matches 1:1 with its payment
ORD4480,order,clean,,matches 1:1 with its payment
ORD4481,order,unsettled,,captured near end of window; not yet paid out. CORRECTLY unmatched -- not an error
ORD4482,order,clean,,matches 1:1 with its payment
ORD4483,order,clean,,matches 1:1 with its payment
ORD4484,order,unsettled,,captured near end of window; not yet paid out. CORRECTLY unmatched -- not an error
ORD4485,order,clean,,matches 1:1 with its payment
ORD4486,order,clean,,matches 1:1 with its payment
ORD4487,order,clean,,matches 1:1 with its payment
ORD4488,order,clean,,matches 1:1 with its payment
ORD4489,order,clean,,matches 1:1 with its payment
ORD4490,order,clean,,matches 1:1 with its payment
ORD4491,order,clean,,matches 1:1 with its payment
ORD4492,order,clean,,matches 1:1 with its payment
ORD4493,order,clean,,matches 1:1 with its payment
ORD4494,order,clean,,matches 1:1 with its payment
ORD4495,order,clean,,matches 1:1 with its payment
ORD4496,order,clean,,matches 1:1 with its payment
ORD4497,order,clean,,matches 1:1 with its payment
ORD4498,order,clean,,matches 1:1 with its payment
ORD4499,order,clean,,matches 1:1 with its payment
ORD4500,order,clean,,matches 1:1 with its payment
ORD4501,order,clean,,matches 1:1 with its payment
ORD4502,order,clean,,matches 1:1 with its payment
ORD4503,order,clean,,matches 1:1 with its payment
ORD4504,order,clean,,matches 1:1 with its payment
ORD4505,order,clean,,matches 1:1 with its payment
ORD4506,order,clean,,matches 1:1 with its payment
ORD4507,order,clean,,matches 1:1 with its payment
ORD4508,order,clean,,matches 1:1 with its payment
ORD4509,order,refund,pay_000510,full refund; net settlement contribution is negative
ORD4510,order,clean,,matches 1:1 with its payment
ORD4511,order,clean,,matches 1:1 with its payment
ORD4512,order,clean,,matches 1:1 with its payment
ORD4513,order,clean,,matches 1:1 with its payment
ORD4514,order,clean,,matches 1:1 with its payment
ORD4515,order,clean,,matches 1:1 with its payment
ORD4516,order,clean,,matches 1:1 with its payment
ORD4517,order,clean,,matches 1:1 with its payment
ORD4518,order,clean,,matches 1:1 with its payment
ORD4519,order,clean,,matches 1:1 with its payment
ORD4520,order,clean,,matches 1:1 with its payment
ORD4521,order,clean,,matches 1:1 with its payment
ORD4522,order,clean,,matches 1:1 with its payment
ORD4523,order,clean,,matches 1:1 with its payment
ORD4524,order,clean,,matches 1:1 with its payment
ORD4525,order,clean,,matches 1:1 with its payment
ORD4526,order,clean,,matches 1:1 with its payment
ORD4527,order,clean,,matches 1:1 with its payment
ORD4528,order,clean,,matches 1:1 with its payment
ORD4529,order,clean,,matches 1:1 with its payment
ORD4530,order,clean,,matches 1:1 with its payment
ORD4531,order,clean,,matches 1:1 with its payment
ORD4532,order,clean,,matches 1:1 with its payment
ORD4533,order,clean,,matches 1:1 with its payment
ORD4534,order,clean,,matches 1:1 with its payment
ORD4535,order,clean,,matches 1:1 with its payment
ORD4536,order,clean,,matches 1:1 with its payment
ORD4537,order,partial_refund,,partial refund of 174.00 against 349.50
ORD4538,order,clean,,matches 1:1 with its payment
ORD4539,order,clean,,matches 1:1 with its payment
